,Unnamed: 0,ID,Address,latitude,longitude,date,coin,MorphLocation,d10,d16,d25,d50,d65,d75,d84,d90,mean,source,dataset,Location
0,0,Calvert/dry,"Calvert Cliffs, MD",38.403158,-76.407753,10/03/19,quarter,the_berm,0.213789479,0.248386583,0.262899784,0.303587341,0.330963207,0.350571888,0.401616227,0.44545237,0.311703023,"Brian McFall, sandsnap training round 1 March 2020",sandsnap,"Red Trail, Calvert County, Maryland, 20657, United States"
1,32,Gulfport/dry,"Gulfport, MS",30.369433,-89.079364,12/23/18,quarter,the_berm,0.181395319,0.19255959,0.210607467,0.263060187,0.290215288,0.309858724,0.328672089,0.341844731,0.255345201,"Brian McFall, sandsnap training round 1 March 2020",sandsnap,"Beachfront Promenade, Mississippi City, Gulfport, Harrison County, Mississippi, 39501, United States"
2,120,Biloxi/dry,"Biloxi, MS",30.392502,-88.872923,12/23/18,quarter,the_berm,0.164303889,0.183553309,0.20122422,0.258887386,0.297732812,0.326816447,0.358365823,0.425649115,0.257276369,"Brian McFall, sandsnap training round 1 March 2020",sandsnap,"428, Beach Boulevard, Biloxi, Harrison County, Mississippi, 39530, United States"
3,194,OceanSprings/dry,"Ocean Springs, MS",30.40425,-88.82823,12/23/18,quarter,the_berm,0.186083786,0.205155138,0.237488832,0.300181767,0.340361634,0.387456254,0.451556957,0.500237332,0.302965434,"Brian McFall, sandsnap training round 1 March 2020",sandsnap,"Fort Maurepas Park, Front Beach Drive, Ocean Springs, Jackson County, Mississippi, 39564-4620, United States"
4,262,3Buxton,"Buxton, NC",35.25197,-75.52251,10/10/19,quarter,the_berm,0.258820594,0.284791467,0.328714747,0.429751638,0.495783241,0.566172554,0.640131054,0.694729306,0.427895583,"Brian McFall, sandsnap training round 1 March 2020",sandsnap,"Lighthouse Road, Dare County, North Carolina, 27920, United States"
5,298,3Hatteras,"Cape Hatteras, NC",35.254,-75.5205,10/10/19,quarter,the_berm,0.258350911,0.275262071,0.302726845,0.385369157,0.436653452,0.474580834,0.529850373,0.601706119,0.38305299,"Brian McFall, sandsnap training round 1 March 2020",sandsnap,"Mountains-to-Sea Trail, Dare County, North Carolina, 27920, United States"
6,334,3IndianaDunes,"Ogden Dunes, IN",41.626351,-87.207703,08/28/19,quarter,the_berm,0.229708324,0.254371197,0.268138988,0.310419463,0.338924004,0.367813797,0.420598185,0.45993202,0.321436179,"Brian McFall, sandsnap training round 1 March 2020",sandsnap,"Bathhouse, Dune Succession Trail, Portage, Porter County, Indiana, 46868, United States"
7,354,3JockeysRidge,"Nags Head, NC",35.95854,-75.62528,10/10/19,quarter,the_dune,0.139475679,0.153472385,0.17705767,0.207565915,0.228339378,0.243330938,0.277030588,0.315408472,0.206651233,"Brian McFall, sandsnap training round 1 March 2020",sandsnap,"3941, South Croatan Highway, Sound Side, Nags Head, Dare County, North Carolina, 27959, United States"
8,378,3KittyHawk,"Kitty Hawk, NC",36.102,-75.711,10/11/19,quarter,the_berm,0.271942495,0.298719901,0.343909976,0.421217832,0.47143698,0.516766479,0.59265602,0.649344168,0.420911898,"Brian McFall, sandsnap training round 1 March 2020",sandsnap,"Kitty Hawk Pier, 5353, North Virginia Dare Trail, Kitty Hawk Beach, Kitty Hawk, Dare County, North Carolina, 27949, United States"
9,414,3KittyHawkBerm,"Kitty Hawk, NC",36.102,-75.711,09/25/19,quarter,the_berm,0.234135928,0.260100086,0.28291596,0.357153695,0.407540903,0.445022437,0.481694338,0.529563379,0.355022378,"Brian McFall, sandsnap training round 1 March 2020",sandsnap,"Kitty Hawk Pier, 5353, North Virginia Dare Trail, Kitty Hawk Beach, Kitty Hawk, Dare County, North Carolina, 27949, United States"
10,432,3KittyHawkShoreface,"Kitty Hawk, NC",36.102,-75.711,09/25/19,quarter,the_swash,0.251061965,0.27013784,0.301503372,0.39578605,0.455832008,0.501720346,0.596440439,0.669325431,0.399519206,"Brian McFall, sandsnap training round 1 March 2020",sandsnap,"Kitty Hawk Pier, 5353, North Virginia Dare Trail, Kitty Hawk Beach, Kitty Hawk, Dare County, North Carolina, 27949, United States"
11,462,3LaPorte,"La Porte, TX",29.6525,-95.009444,11/04/19,quarter,the_berm,0.204891057,0.234290549,0.266976327,0.349533711,0.42524919,0.485581683,0.605695711,0.730918686,0.367422808,"Brian McFall, sandsnap training round 1 March 2020",sandsnap,"Sylvan Beach Convention Center, Bayshore Drive, Sylvan Beach, La Porte, Harris County, Texas, 77571, United States"
12,494,3NagsHeadBerm,"Nags Head, NC",38.848475,-75.56425,09/25/19,quarter,the_berm,0.164317,0.183497394,0.201081645,0.256327944,0.284593732,0.30514874,0.324914584,0.338798092,0.248159947,"Brian McFall, sandsnap training round 1 March 2020",sandsnap,"Woodyard Road, Sussex County, Delaware, 19952, United States"
13,516,3NCorolla,"Corolla, NC",36.32843,-75.81131,10/10/19,quarter,the_berm,0.168921574,0.182747542,0.194518064,0.23134549,0.260276631,0.289235272,0.318042913,0.338824938,0.237793202,"Brian McFall, sandsnap training round 1 March 2020",sandsnap,"820, Lighthouse Drive, Currituck County, North Carolina, 27927, United States"
14,528,3NOregonInlet,"North side, Oregon Inlet, NC",35.799,-75.54,10/10/19,quarter,the_berm,0.192123435,0.214609971,0.25138336,0.304013192,0.340742237,0.380554926,0.433700598,0.473193172,0.304726892,"Brian McFall, sandsnap training round 1 March 2020",sandsnap,"Mountains-to-Sea Trail, Dare County, North Carolina, United States"
